16 0 0 1 1 0.657424 0.000890 0.000890 0.386490 0.549400
16 0 0 1 2 0.962802 0.010656 0.010656 0.386490 0.549400
14 0 0 1 1 0.690969 0.002393 0.002393 0.386490 0.549400
14 0 0 1 2 0.984860 0.014577 0.014577 0.386490 0.549400
24 0 0 1 1 0.592457 0.000479 0.000479 0.386490 0.549400
24 0 0 1 2 0.864283 0.003380 0.003380 0.386490 0.549400
16 1 1 0 1 0.754599 0.001310 0.001310 0.386490 0.549400
16 1 1 0 2 1.036663 0.023078 0.023078 0.386490 0.549400
24 1 1 0 1 0.639576 0.000489 0.000489 0.386490 0.549400
24 1 1 0 2 0.909314 0.008124 0.008124 0.386490 0.549400
